Date,Datacenter,Location 2nd Level ID,Location 3rd Level Name,Location 3rdLevel ID,POD,IMS Account Type,Hardware Status,Hardware Status Group,Hardware Type,Chassis Size,Hardware Count,Occupied U
4/27/2025,DAL10,1,rack,1,DAL10 - 1,Customer,Active,Active,Server,1,1,1
4/27/2025,DAL10,1,rack,1,DAL10 - 1,Internal,Active,Active,IPMI Management Switch,1,1,1
4/27/2025,DAL10,1,rack,1,DAL10 - 1,Internal,Active,Active,Server,1,26,26
4/27/2025,DAL10,1,rack,1,DAL10 - 1,Internal,Active,Active,Switch,1,4,4
4/27/2025,DAL10,1,rack,1,DAL10 - 1,Test,Active,Active,Server,1,1,1
4/27/2025,DAL10,1,rack,1,DAL10 - 1,Unknown,Spare,Non-Sellable Inventory,Server,1,2,2
4/27/2025,DAL12,1,rack,1,DAL12 - 1,Internal,Active,Active,IPMI Management Switch,1,1,1
4/27/2025,DAL12,1,rack,1,DAL12 - 1,Internal,Active,Active,Server,1,31,31
4/27/2025,DAL12,1,rack,1,DAL12 - 1,Internal,Active,Active,Switch,1,4,4
4/27/2025,DAL12,1,rack,1,DAL12 - 1,Unknown,Spare,Non-Sellable Inventory,Server,1,3,3
4/27/2025,DAL13,1,rack,1,DAL13 - 1,Internal,Active,Active,IPMI Management Switch,1,1,1
4/27/2025,DAL13,1,rack,1,DAL13 - 1,Internal,Active,Active,Server,1,10,10
4/27/2025,DAL13,1,rack,1,DAL13 - 1,Internal,Active,Active,Switch,1,4,4
4/27/2025,DAL13,1,rack,1,DAL13 - 1,Internal,Reclaim,Sellable Inventory,Server,1,4,4
4/27/2025,DAL13,1,rack,1,DAL13 - 1,Test,Active,Active,Server,1,1,1
4/27/2025,DAL13,1,rack,1,DAL13 - 1,Unknown,Liquidation,Other,Server,1,1,1
4/27/2025,DAL13,1,rack,1,DAL13 - 1,Unknown,Reclaim,Sellable Inventory,Server,1,11,11
4/27/2025,DAL13,1,rack,1,DAL13 - 1,Unknown,Reserved,Sellable Inventory,Server,1,2,2
4/27/2025,DAL14,1,rack,1,0,Unknown,Reserved,Sellable Inventory,Switch,1,2,2
4/27/2025,DAL10,1,rack,2,DAL10 - 1,Internal,Active,Active,IPMI Management Switch,1,1,1
4/27/2025,DAL10,1,rack,2,DAL10 - 1,Internal,Active,Active,Server,1,24,24
4/27/2025,DAL10,1,rack,2,DAL10 - 1,Internal,Active,Active,Switch,1,4,4
4/27/2025,DAL10,1,rack,2,DAL10 - 1,Unknown,Liquidate_Prep,Other,Server,1,5,5
4/27/2025,DAL12,1,rack,2,DAL12 - 1,Internal,Active,Active,IPMI Management Switch,1,1,1
4/27/2025,DAL12,1,rack,2,DAL12 - 1,Internal,Active,Active,Server,1,36,36
4/27/2025,DAL12,1,rack,2,DAL12 - 1,Internal,Active,Active,Switch,1,4,4
4/27/2025,DAL12,1,rack,2,DAL12 - 1,Unknown,Liquidation,Other,Server,1,1,1
4/27/2025,DAL12,1,rack,2,DAL12 - 1,Unknown,Reclaim,Sellable Inventory,Server,1,1,1
4/27/2025,DAL13,1,rack,2,DAL13 - 1,Internal,Active,Active,IPMI Management Switch,1,1,1
4/27/2025,DAL13,1,rack,2,DAL13 - 1,Internal,Active,Active,Server,1,2,2
4/27/2025,DAL13,1,rack,2,DAL13 - 1,Internal,Active,Active,Switch,1,4,4
4/27/2025,DAL13,1,rack,2,DAL13 - 1,Internal,Reclaim,Sellable Inventory,Server,1,2,2
4/27/2025,DAL13,1,rack,2,DAL13 - 1,Unknown,Liquidation,Other,Server,1,2,2
4/27/2025,DAL13,1,rack,2,DAL13 - 1,Unknown,Reclaim,Sellable Inventory,Server,1,6,6
4/27/2025,DAL13,1,rack,2,DAL13 - 1,Unknown,Reserved,Sellable Inventory,Server,1,4,4
4/27/2025,DAL14,1,rack,2,0,Unknown,Reserved,Sellable Inventory,Switch,1,2,2
4/27/2025,DAL10,1,rack,3,DAL10 - 1,Internal,Active,Active,IPMI Management Switch,1,1,1
4/27/2025,DAL10,1,rack,3,DAL10 - 1,Internal,Active,Active,Server,1,23,23
4/27/2025,DAL10,1,rack,3,DAL10 - 1,Internal,Active,Active,Switch,1,4,4
4/27/2025,DAL10,1,rack,3,DAL10 - 1,Unknown,Liquidate_Prep,Other,Server,1,2,2
4/27/2025,DAL10,1,rack,3,DAL10 - 1,Unknown,Liquidation,Other,Server,1,1,1
4/27/2025,DAL10,1,rack,3,DAL10 - 1,Unknown,Spare,Non-Sellable Inventory,Server,1,1,1
4/27/2025,DAL12,1,rack,3,DAL12 - 1,Internal,Active,Active,IPMI Management Switch,1,1,1
4/27/2025,DAL12,1,rack,3,DAL12 - 1,Internal,Active,Active,Server,1,29,29
4/27/2025,DAL12,1,rack,3,DAL12 - 1,Internal,Active,Active,Switch,1,4,4
4/27/2025,DAL12,1,rack,3,DAL12 - 1,Unknown,Quarantine,Unknown,Server,1,2,2
4/27/2025,DAL12,1,rack,3,DAL12 - 1,Unknown,Spare,Non-Sellable Inventory,Server,1,2,2
4/27/2025,DAL13,1,rack,3,DAL13 - 1,Internal,Active,Active,IPMI Management Switch,1,1,1
4/27/2025,DAL13,1,rack,3,DAL13 - 1,Internal,Active,Active,Server,1,15,15
4/27/2025,DAL13,1,rack,3,DAL13 - 1,Internal,Active,Active,Switch,1,4,4
4/27/2025,DAL13,1,rack,3,DAL13 - 1,Internal,Reclaim,Sellable Inventory,Server,1,2,2
4/27/2025,DAL13,1,rack,3,DAL13 - 1,Unknown,Reclaim,Sellable Inventory,Server,1,9,9
4/27/2025,DAL13,1,rack,3,DAL13 - 1,Unknown,Reserved,Sellable Inventory,Server,1,5,5
4/27/2025,DAL10,1,rack,4,DAL10 - 1,Internal,Active,Active,IPMI Management Switch,1,1,1
4/27/2025,DAL10,1,rack,4,DAL10 - 1,Internal,Active,Active,Server,1,25,25
4/27/2025,DAL10,1,rack,4,DAL10 - 1,Internal,Active,Active,Switch,1,4,4
4/27/2025,DAL10,1,rack,4,DAL10 - 1,Unknown,Liquidate_Prep,Other,Server,1,2,2
4/27/2025,DAL10,1,rack,4,DAL10 - 1,Unknown,Liquidation,Other,Server,1,2,2
4/27/2025,DAL10,1,rack,4,DAL10 - 1,Unknown,Spare,Non-Sellable Inventory,Server,1,1,1
4/27/2025,DAL12,1,rack,4,DAL12 - 1,Internal,Active,Active,IPMI Management Switch,1,1,1
4/27/2025,DAL12,1,rack,4,DAL12 - 1,Internal,Active,Active,Server,1,23,23
4/27/2025,DAL12,1,rack,4,DAL12 - 1,Internal,Active,Active,Switch,1,4,4
4/27/2025,DAL12,1,rack,4,DAL12 - 1,Unknown,Reclaim,Sellable Inventory,Server,1,1,1
4/27/2025,DAL12,1,rack,4,DAL12 - 1,Unknown,Spare,Non-Sellable Inventory,Server,1,3,3
4/27/2025,DAL13,1,rack,4,DAL13 - 1,Internal,Active,Active,IPMI Management Switch,1,1,1
4/27/2025,DAL13,1,rack,4,DAL13 - 1,Internal,Active,Active,Server,1,6,6
4/27/2025,DAL13,1,rack,4,DAL13 - 1,Internal,Active,Active,Switch,1,4,4
4/27/2025,DAL13,1,rack,4,DAL13 - 1,Internal,Reclaim,Sellable Inventory,Server,1,1,1
4/27/2025,DAL13,1,rack,4,DAL13 - 1,Unknown,Reclaim,Sellable Inventory,Server,1,11,11
4/27/2025,DAL13,1,rack,4,DAL13 - 1,Unknown,Reserved,Sellable Inventory,Server,1,4,4
4/27/2025,DAL14,1,rack,4,0,Internal,Active,Active,Switch,1,7,7
4/27/2025,DAL14,1,rack,4,0,Test,Active,Active,Server,2,4,8
4/27/2025,DAL10,1,rack,5,DAL10 - 1,Internal,Active,Active,IPMI Management Switch,1,1,1
4/27/2025,DAL10,1,rack,5,DAL10 - 1,Internal,Active,Active,Server,1,16,16
4/27/2025,DAL10,1,rack,5,DAL10 - 1,Internal,Active,Active,Switch,1,4,4
4/27/2025,DAL10,1,rack,5,DAL10 - 1,Unknown,Liquidate_Prep,Other,Server,1,4,4
4/27/2025,DAL10,1,rack,5,DAL10 - 1,Unknown,Liquidation,Other,Server,1,3,3
4/27/2025,DAL12,1,rack,5,DAL12 - 1,Internal,Active,Active,IPMI Management Switch,1,1,1
4/27/2025,DAL12,1,rack,5,DAL12 - 1,Internal,Active,Active,Server,1,30,30
4/27/2025,DAL12,1,rack,5,DAL12 - 1,Internal,Active,Active,Switch,1,4,4
4/27/2025,DAL12,1,rack,5,DAL12 - 1,Unknown,Reclaim,Sellable Inventory,Server,1,1,1
4/27/2025,DAL12,1,rack,5,DAL12 - 1,Unknown,Spare,Non-Sellable Inventory,Server,1,2,2
4/27/2025,DAL13,1,rack,5,DAL13 - 1,Customer,Active,Active,Server,2,1,2
4/27/2025,DAL13,1,rack,5,DAL13 - 1,Internal,Active,Active,IPMI Management Switch,1,1,1
4/27/2025,DAL13,1,rack,5,DAL13 - 1,Internal,Active,Active,Server,1,2,2
4/27/2025,DAL13,1,rack,5,DAL13 - 1,Internal,Active,Active,Switch,1,4,4
4/27/2025,DAL13,1,rack,5,DAL13 - 1,Internal,Reclaim,Sellable Inventory,Server,1,3,3
4/27/2025,DAL13,1,rack,5,DAL13 - 1,Unknown,Reclaim,Sellable Inventory,Server,1,8,8
4/27/2025,DAL13,1,rack,5,DAL13 - 1,Unknown,Reserved,Sellable Inventory,Server,1,2,2
4/27/2025,DAL14,1,rack,5,0,Internal,Active,Active,Console,1,1,1
4/27/2025,DAL14,1,rack,5,0,Internal,Active,Active,Load Balancer,2,1,2
4/27/2025,DAL14,1,rack,5,0,Internal,Active,Active,Router,13,2,26
4/27/2025,DAL14,1,rack,5,0,Internal,Active,Active,Switch,1,2,2
4/27/2025,DAL14,1,rack,5,0,Internal,Active,Active,Switch,2,1,2
4/27/2025,DAL14,1,rack,5,0,Internal,Reserved,Sellable Inventory,Load Balancer,2,1,2
4/27/2025,DAL14,1,rack,5,0,Test,Active,Active,Server,2,2,4
4/27/2025,DAL10,1,rack,6,DAL10 - 1,Internal,Active,Active,Switch,1,4,4
4/27/2025,DAL12,1,rack,6,DAL12 - 1,Internal,Active,Active,Switch,1,4,4
4/27/2025,DAL13,1,rack,6,DAL13 - 1,Internal,Active,Active,Switch,1,4,4
4/27/2025,DAL14,1,rack,6,0,Internal,Active,Active,Load Balancer,2,1,2
4/27/2025,DAL14,1,rack,6,0,Internal,Active,Active,Router,13,2,26
4/27/2025,DAL14,1,rack,6,0,Internal,Active,Active,Switch,1,1,1
4/27/2025,DAL14,1,rack,6,0,Internal,Active,Active,Switch,2,1,2
4/27/2025,DAL14,1,rack,6,0,Internal,Reserved,Sellable Inventory,Load Balancer,2,1,2
4/27/2025,DAL14,1,rack,6,0,Test,Active,Active,Server,2,2,4
